Id,Label,度,Closeness Centrality,Betweenness Centrality,PageRank,Eigenvector Centrality
82858,82858,1,6.497521406,0,1.27E-04,0.005497656
82859,82859,1,6.497521406,0,1.27E-04,0.005497656
82860,82860,1,6.497521406,0,1.27E-04,0.005497656
82861,82861,1,6.497521406,0,1.27E-04,0.005497656
82862,82862,1,6.497521406,0,1.27E-04,0.005497656
82868,82868,1,6.497521406,0,1.27E-04,0.005497656
82869,82869,1,6.497521406,0,1.27E-04,0.005497656
82871,82871,1,6.497521406,0,1.27E-04,0.005497656
82878,82878,1,6.497521406,0,1.27E-04,0.005497656
9593,9593,1,7.923839567,0,1.30E-04,0.002511712
12096,12096,1,7.923839567,0,1.30E-04,0.002511712
18356,18356,1,7.923839567,0,1.30E-04,0.002511712
27590,27590,2,6.976566021,14060.78449,2.22E-04,0.035044982
73908,73908,1,7.923839567,0,1.30E-04,0.002511712
82851,82851,1,7.923839567,0,1.30E-04,0.002511712
82852,82852,1,7.923839567,0,1.30E-04,0.002511712
82854,82854,1,7.923839567,0,1.30E-04,0.002511712
82857,82857,1,7.923839567,0,1.30E-04,0.002511712
82864,82864,1,7.923839567,0,1.30E-04,0.002511712
82870,82870,1,7.923839567,0,1.30E-04,0.002511712
82872,82872,1,7.923839567,0,1.30E-04,0.002511712
24054,24054,1,8.571428571,0,1.35E-04,0.001851433
24055,24055,1,8.571428571,0,1.35E-04,0.001851433
24058,24058,1,8.571428571,0,1.35E-04,0.001851433
24068,24068,1,8.571428571,0,1.35E-04,0.001851433
24085,24085,1,8.571428571,0,1.35E-04,0.001851433
24096,24096,1,8.571428571,0,1.35E-04,0.001851433
24098,24098,1,8.571428571,0,1.35E-04,0.001851433
24060,24060,61,7.97521406,131310,0.006806063,0.085178318
2276,2276,1,8.974763407,0,1.31E-04,0.009723079
7412,7412,1,8.974763407,0,1.31E-04,0.009723079
7723,7723,1,8.974763407,0,1.31E-04,0.009723079
13439,13439,1,8.974763407,0,1.31E-04,0.009723079
21348,21348,1,8.974763407,0,1.31E-04,0.009723079
24615,24615,1,8.974763407,0,1.31E-04,0.009723079
30841,30841,1,8.974763407,0,1.31E-04,0.009723079
34534,34534,1,8.974763407,0,1.31E-04,0.009723079
